Start Time,End Time,Type,Comments,,
Tue Mar 11 03:00:27 PDT 2014,Tue Mar 11 12:32:47 PDT 2014,Activity,Activity,Sleep,Home
Tue Mar 11 12:32:47 PDT 2014,Tue Mar 11 12:35:14 PDT 2014,Non-walk trip,Trip,Walk,
Tue Mar 11 12:35:14 PDT 2014,Tue Mar 11 12:37:44 PDT 2014,Walk trip,Trip,Walk,
Tue Mar 11 12:37:44 PDT 2014,Tue Mar 11 12:42:47 PDT 2014,Hole,Hole,,
Tue Mar 11 12:42:47 PDT 2014,Tue Mar 11 12:43:17 PDT 2014,Walk trip,Trip,Walk,
Tue Mar 11 12:43:17 PDT 2014,Tue Mar 11 12:51:48 PDT 2014,Hole,Hole,,
Tue Mar 11 12:51:48 PDT 2014,Tue Mar 11 12:53:19 PDT 2014,Walk trip,Activity,Work,Sutardja Dai Hall
Tue Mar 11 12:53:19 PDT 2014,Tue Mar 11 13:46:25 PDT 2014,Hole,Hole,,
Tue Mar 11 13:46:25 PDT 2014,Tue Mar 11 15:29:43 PDT 2014,Hole,Hole,,
Tue Mar 11 15:29:43 PDT 2014,Tue Mar 11 15:47:50 PDT 2014,Hole,Hole,,
Tue Mar 11 15:47:50 PDT 2014,Tue Mar 11 19:43:29 PDT 2014,Hole,Hole,,
Tue Mar 11 19:43:29 PDT 2014,Tue Mar 11 19:45:56 PDT 2014,Non-walk trip,Trip,Walk,
Tue Mar 11 19:45:56 PDT 2014,Tue Mar 11 19:49:58 PDT 2014,Walk trip,Trip,Walk,
Tue Mar 11 19:49:58 PDT 2014,Tue Mar 11 19:55:58 PDT 2014,Activity,Activity,Meals,Starbucks
Tue Mar 11 19:55:58 PDT 2014,Tue Mar 11 19:57:33 PDT 2014,Non-walk trip,Trip,Walk,
Tue Mar 11 19:57:33 PDT 2014,Tue Mar 11 20:12:02 PDT 2014,Activity,Activity,Shopping,Walgreens
Tue Mar 11 20:12:02 PDT 2014,Tue Mar 11 20:15:03 PDT 2014,Walk trip,Trip,Walk,
Tue Mar 11 20:15:03 PDT 2014,Tue Mar 11 20:18:02 PDT 2014,Non-walk trip,Trip,Walk,
Tue Mar 11 20:18:02 PDT 2014,Tue Mar 11 20:21:33 PDT 2014,Walk trip,Trip,Walk,
Tue Mar 11 20:21:33 PDT 2014,Wed Mar 12 00:08:12 PDT 2014,Hole,Hole,,
Wed Mar 12 00:08:12 PDT 2014,Wed Mar 12 00:20:10 PDT 2014,Walk trip,Activity,Sleep,Home
Wed Mar 12 00:20:10 PDT 2014,Wed Mar 12 02:59:54 PDT 2014,Activity,Activity,Sleep,Home
