Start Time,End Time,Type,Comments,,
Sun Mar 16 10:08:35 PDT 2014,Sun Mar 16 11:41:50 PDT 2014,Activity,Household_chores,Dave's,
Sun Mar 16 11:41:50 PDT 2014,Sun Mar 16 11:45:40 PDT 2014,Non-walk trip,Trip,Bike,
Sun Mar 16 11:45:40 PDT 2014,Sun Mar 16 11:52:16 PDT 2014,Hole,Hole,,
Sun Mar 16 11:52:16 PDT 2014,Sun Mar 16 12:07:11 PDT 2014,Non-walk trip,Trip,Transit,BART
Sun Mar 16 12:07:11 PDT 2014,Sun Mar 16 12:15:31 PDT 2014,Activity,Trip,Transit,BART
Sun Mar 16 12:15:31 PDT 2014,Sun Mar 16 12:32:00 PDT 2014,Non-walk trip,Trip,Bike,
Sun Mar 16 12:32:00 PDT 2014,Sun Mar 16 12:35:30 PDT 2014,Walk trip,Trip,Bike,
Sun Mar 16 12:35:30 PDT 2014,Sun Mar 16 12:37:02 PDT 2014,Non-walk trip,Trip,Bike,
Sun Mar 16 12:37:02 PDT 2014,Sun Mar 16 14:47:52 PDT 2014,Activity,Social,Shona's,
Sun Mar 16 14:47:52 PDT 2014,Sun Mar 16 15:00:01 PDT 2014,Walk trip,Trip,Walk,
Sun Mar 16 15:00:01 PDT 2014,Sun Mar 16 16:14:21 PDT 2014,Activity,Social,Lucky 13,
Sun Mar 16 16:14:21 PDT 2014,Sun Mar 16 16:21:21 PDT 2014,Non-walk trip,Trip,Bike,
Sun Mar 16 16:21:21 PDT 2014,Sun Mar 16 16:43:35 PDT 2014,Activity,Shopping,Mexican Grocery Store,
Sun Mar 16 16:43:35 PDT 2014,Sun Mar 16 16:44:54 PDT 2014,Non-walk trip,Trip,Bike,
Sun Mar 16 16:44:54 PDT 2014,Sun Mar 16 16:54:38 PDT 2014,Activity,Waiting,BART Stn,
Sun Mar 16 16:54:38 PDT 2014,Sun Mar 16 17:04:41 PDT 2014,Hole,Hole,,
Sun Mar 16 17:04:41 PDT 2014,Sun Mar 16 17:11:45 PDT 2014,Non-walk trip,Trip,Transit,BART
Sun Mar 16 17:11:45 PDT 2014,Sun Mar 16 17:22:38 PDT 2014,Activity,Trip,Transit,BART
Sun Mar 16 17:22:38 PDT 2014,Sun Mar 16 17:29:53 PDT 2014,Non-walk trip,Trip,Transit,BART
Sun Mar 16 17:29:53 PDT 2014,Sun Mar 16 17:35:29 PDT 2014,Walk trip,Trip,Bike,
Sun Mar 16 17:35:29 PDT 2014,Sun Mar 16 19:04:05 PDT 2014,Activity,Meals Sleep,Dave's,
