Start Time,End Time,Start Epoch,End Epoch,Type,Comments,,
4/7/14 8:21,4/7/14 8:21,1396884081563,1396884101328,Non-walk trip,Activity,Sleep,Home
4/7/14 8:21,4/7/14 9:29,1396884101328,1396888164031,Activity,Activity,Household_chores,Home
4/7/14 9:29,4/7/14 9:31,1396888164031,1396888303333,Non-walk trip,Trip,Transit,AC_Transit
4/7/14 9:31,4/7/14 9:33,1396888303333,1396888439473,Walk trip,Trip,Transit,AC_Transit
4/7/14 9:33,4/7/14 9:38,1396888439473,1396888715731,Non-walk trip,Trip,Transit,AC_Transit
4/7/14 9:38,4/7/14 9:45,1396888715731,1396889114580,Walk trip,Trip,Walk,
4/7/14 9:45,4/7/14 9:47,1396889114580,1396889234692,Non-walk trip,Trip,Walk,
4/7/14 9:47,4/7/14 9:50,1396889234692,1396889446519,Walk trip,Trip,Walk,
4/7/14 9:50,4/7/14 11:31,1396889446519,1396895501582,Activity,Activity,Work,McLaughlin Hall
4/7/14 11:31,4/7/14 13:01,1396895501582,1396900916155,Activity,Activity,Work,McLaughlin Hall
4/7/14 13:01,4/7/14 13:03,1396900916155,1396900989959,Walk trip,Trip,Walk,
4/7/14 13:03,4/7/14 13:18,1396900989959,1396901889377,Activity,Activity,Meals,D'Yar
4/7/14 13:18,4/7/14 13:19,1396901889377,1396901960164,Walk trip,Trip,Walk,
4/7/14 13:19,4/7/14 18:34,1396901960164,1396920863226,Activity,Activity,Work,McLaughlin Hall
4/7/14 18:34,4/7/14 18:43,1396920863226,1396921431084,Walk trip,Trip,Walk,
4/7/14 18:43,4/7/14 18:55,1396921431084,1396922124556,Activity,Activity,Waiting,
4/7/14 18:55,4/7/14 18:59,1396922124556,1396922366772,Walk trip,Trip,Transit,AC_Transit
4/7/14 18:59,4/7/14 19:05,1396922366772,1396922756086,Non-walk trip,Trip,Transit,AC_Transit
4/7/14 19:05,4/7/14 19:23,1396922756086,1396923809624,Activity,Activity,Personal_services,Haircut
4/7/14 19:23,4/8/14 2:59,1396923809624,1396951176621,Activity,Activity,Household_chores Meals Sleep,Home
