Start Time,End Time,Type,Comments,,
Fri Mar 07 09:44:18 PST 2014,Fri Mar 07 09:47:14 PST 2014,Walk trip,Trip,Walk,
Fri Mar 07 09:47:14 PST 2014,Fri Mar 07 09:54:43 PST 2014,Non-walk trip,Trip,Walk,
Fri Mar 07 09:54:43 PST 2014,Fri Mar 07 11:29:36 PST 2014,Activity,Activity,Work,McLaughlin Hall
Fri Mar 07 11:29:36 PST 2014,Fri Mar 07 12:01:59 PST 2014,Activity,Activity,Work,McLaughlin Hall
Fri Mar 07 12:01:59 PST 2014,Fri Mar 07 13:12:37 PST 2014,Activity,Activity,Work,McLaughlin Hall
Fri Mar 07 13:12:37 PST 2014,Fri Mar 07 13:13:17 PST 2014,Walk trip,Trip,Walk,
Fri Mar 07 13:13:17 PST 2014,Fri Mar 07 13:52:50 PST 2014,Activity,Activity,Work,McLaughlin Hall
Fri Mar 07 13:52:50 PST 2014,Fri Mar 07 14:54:40 PST 2014,Activity,Activity,Work,McLaughlin Hall
Fri Mar 07 14:54:40 PST 2014,Fri Mar 07 14:57:00 PST 2014,Non-walk trip,Trip,Walk,
Fri Mar 07 14:57:00 PST 2014,Fri Mar 07 15:06:59 PST 2014,Walk trip,Trip,Walk,
Fri Mar 07 15:06:59 PST 2014,Fri Mar 07 15:48:18 PST 2014,Activity,Activity,Relaxing,Home
Fri Mar 07 15:48:18 PST 2014,Fri Mar 07 15:51:11 PST 2014,Walk trip,Trip,Car,
Fri Mar 07 15:51:11 PST 2014,Fri Mar 07 16:09:09 PST 2014,Non-walk trip,Trip,Car,
Fri Mar 07 16:09:09 PST 2014,Fri Mar 07 16:11:34 PST 2014,Walk trip,Trip,Car,
Fri Mar 07 16:11:34 PST 2014,Fri Mar 07 16:32:26 PST 2014,Non-walk trip,Trip,Car,
Fri Mar 07 16:32:26 PST 2014,Fri Mar 07 16:34:07 PST 2014,Walk trip,Trip,Car,
Fri Mar 07 16:34:07 PST 2014,Fri Mar 07 17:07:43 PST 2014,Non-walk trip,Trip,Car,
Fri Mar 07 17:07:43 PST 2014,Fri Mar 07 17:12:10 PST 2014,Walk trip,Trip,Car,
Fri Mar 07 17:12:10 PST 2014,Fri Mar 07 17:22:30 PST 2014,Activity,Activity,Social,Stanford
Fri Mar 07 17:22:30 PST 2014,Fri Mar 07 22:58:25 PST 2014,Activity,Activity,Social,Stanford
Fri Mar 07 22:58:25 PST 2014,Sat Mar 08 00:00:29 PST 2014,Hole,Hole,,
Sat Mar 08 00:00:29 PST 2014,Sat Mar 08 02:59:59 PST 2014,Activity,Activity,Social,Stanford
