Start Time,End Time,Start Epoch,End Epoch,Type,Comments,,
29/04/14 03:00,29/04/14 09:29,1398765641561,1398788942619,Activity,Activity,Sleep,Home
29/04/14 09:29,29/04/14 09:40,1398788942619,1398789629479,Walk trip,Trip,Walk,
29/04/14 09:40,29/04/14 11:10,1398789629479,1398795032090,Activity,Activity,Work,
29/04/14 11:10,29/04/14 11:19,1398795032090,1398795563642,Walk trip,Trip,Walk,
29/04/14 11:19,29/04/14 12:26,1398795563642,1398799613391,Activity,Activity,Work,
29/04/14 12:26,29/04/14 12:31,1398799613391,1398799877351,Walk trip,Trip,Walk,
29/04/14 12:31,29/04/14 13:24,1398799877351,1398803080900,Activity,Activity,Meals,
29/04/14 13:24,29/04/14 13:25,1398803080900,1398803150367,Walk trip,Trip,Walk,
29/04/14 13:25,29/04/14 13:45,1398803150367,1398804307633,Activity,Activity,Work,
29/04/14 13:45,29/04/14 14:01,1398804307633,1398805284250,Walk trip,Trip,Walk,
29/04/14 14:01,29/04/14 15:23,1398805284250,1398810186619,Activity,Activity,Work,
29/04/14 15:23,29/04/14 15:24,1398810186619,1398810257277,Walk trip,Activity,Work,
29/04/14 15:24,30/04/14 02:59,1398810257277,1398851990225,Activity,Activity,Work,
