Start Time,End Time,Type,Comments,,
Mon Mar 03 12:29:49 PST 2014,Mon Mar 03 18:02:23 PST 2014,Activity,Activity,School,
Mon Mar 03 18:02:23 PST 2014,Mon Mar 03 18:04:23 PST 2014,Walk trip,Trip,Walk,
Mon Mar 03 18:04:23 PST 2014,Mon Mar 03 19:05:55 PST 2014,Activity,Activity,Meals,
Mon Mar 03 19:05:55 PST 2014,Mon Mar 03 19:06:26 PST 2014,Non-walk trip,Trip,Walk,
Mon Mar 03 19:06:26 PST 2014,Mon Mar 03 19:23:02 PST 2014,Activity,Activity,Waiting,Bus Stop
Mon Mar 03 19:23:02 PST 2014,Mon Mar 03 19:33:36 PST 2014,Non-walk trip,Trip,Transit,AC_Transit
Mon Mar 03 19:33:36 PST 2014,Mon Mar 03 19:43:18 PST 2014,Walk trip,Trip,Walk,
Mon Mar 03 19:43:18 PST 2014,Mon Mar 03 20:00:14 PST 2014,Activity,Activity,Meals,
Mon Mar 03 20:00:14 PST 2014,Mon Mar 03 20:00:16 PST 2014,Walk trip,Trip,Walk,
Mon Mar 03 20:00:16 PST 2014,Mon Mar 03 20:18:57 PST 2014,Activity,Activity,Sleep,Home
Mon Mar 03 20:18:57 PST 2014,Mon Mar 03 20:25:02 PST 2014,Hole,Hole,,
Mon Mar 03 20:25:02 PST 2014,Mon Mar 03 20:41:12 PST 2014,Activity,Activity,Sleep,Home
Mon Mar 03 20:41:12 PST 2014,Mon Mar 03 23:39:53 PST 2014,Hole,Hole,,
Mon Mar 03 23:39:53 PST 2014,Tue Mar 04 02:59:39 PST 2014,Activity,Activity,Sleep,Home
