Start Time,End Time,Start Epoch,End Epoch,Type,Comments,,
4/13/14 3:00,4/13/14 13:58,1397383224263,1397422731232,Activity,Activity,Sleep,Home
4/13/14 13:58,4/13/14 14:05,1397422731232,1397423154393,Walk trip,Trip,Walk,
4/13/14 14:05,4/13/14 14:28,1397423154393,1397424480555,Activity,Activity,Meals,Eureka
4/13/14 14:28,4/13/14 16:13,1397424480555,1397430798921,Activity,Activity,Meals,Eureka
4/13/14 16:13,4/13/14 16:13,1397430798921,1397430830065,Walk trip,Trip,Walk,
4/13/14 16:13,4/13/14 16:22,1397430830065,1397431347300,Activity,Activity,Meals,John's
4/13/14 16:22,4/13/14 16:31,1397431347300,1397431863389,Activity,Activity,Meals,John's
4/13/14 16:31,4/13/14 16:34,1397431863389,1397432045470,Walk trip,Trip,Walk,
4/13/14 16:34,4/13/14 16:35,1397432045470,1397432135661,Non-walk trip,Non-walk trip,Transit,AC_Transit
4/13/14 16:35,4/13/14 16:37,1397432135661,1397432226434,Walk trip,Trip,Walk,
4/13/14 16:37,4/13/14 20:41,1397432226434,1397446864280,Activity,Activity,Work,McLaughlin Hall
4/13/14 20:41,4/13/14 20:45,1397446864280,1397447106343,Walk trip,Trip,Walk,
4/13/14 20:45,4/13/14 20:46,1397447106343,1397447197610,Non-walk trip,Trip,Walk,
4/13/14 20:46,4/13/14 20:57,1397447197610,1397447861551,Walk trip,Trip,Walk,
4/13/14 20:57,4/13/14 22:00,1397447861551,1397451600721,Activity,Activity,Meals,Restaurant
4/13/14 22:00,4/13/14 22:15,1397451600721,1397452535289,Walk trip,Trip,Walk,
4/13/14 22:15,4/14/14 2:59,1397452535289,1397469578711,Activity,Activity,Sleep,Home
