Start Time,End Time,Type,Comments,,
Mon Mar 03 09:52:15 PST 2014,Mon Mar 03 10:06:02 PST 2014,Non-walk trip,Trip,Car,
Mon Mar 03 10:06:02 PST 2014,Mon Mar 03 10:08:08 PST 2014,Walk trip,Trip,Walk,
Mon Mar 03 10:08:08 PST 2014,Mon Mar 03 11:09:51 PST 2014,Activity,Activity,School,O'Brien Hall
Mon Mar 03 11:09:51 PST 2014,Mon Mar 03 11:17:43 PST 2014,Walk trip,Trip,Walk,
Mon Mar 03 11:17:43 PST 2014,Mon Mar 03 11:20:14 PST 2014,Non-walk trip,Trip,Car,
Mon Mar 03 11:20:14 PST 2014,Mon Mar 03 12:00:03 PST 2014,Walk trip,Trip,Walk,
Mon Mar 03 12:00:03 PST 2014,Mon Mar 03 12:05:03 PST 2014,Hole,Hole,,
Mon Mar 03 12:05:03 PST 2014,Mon Mar 03 12:12:46 PST 2014,Walk trip,Trip,Walk,
Mon Mar 03 12:12:46 PST 2014,Mon Mar 03 12:17:57 PST 2014,Hole,Hole,,
Mon Mar 03 12:17:57 PST 2014,Mon Mar 03 13:49:04 PST 2014,Activity,Activity,School,McLaughlin Hall
Mon Mar 03 13:49:04 PST 2014,Mon Mar 03 13:54:19 PST 2014,Hole,Hole,,
Mon Mar 03 13:54:19 PST 2014,Mon Mar 03 14:02:35 PST 2014,Activity,Activity,School,McLaughlin Hall
Mon Mar 03 14:02:35 PST 2014,Mon Mar 03 18:57:20 PST 2014,Activity,Activity,School,McLaughlin Hall
Mon Mar 03 18:57:20 PST 2014,Mon Mar 03 18:58:53 PST 2014,Non-walk trip,Trip,Walk,
Mon Mar 03 18:58:53 PST 2014,Mon Mar 03 19:06:45 PST 2014,Walk trip,Trip,Walk,
Mon Mar 03 19:06:45 PST 2014,Mon Mar 03 19:13:40 PST 2014,Activity,Activity,Waiting,BART Station
Mon Mar 03 19:13:40 PST 2014,Mon Mar 03 19:16:33 PST 2014,Non-walk trip,Trip,Transit,BART
Mon Mar 03 19:16:33 PST 2014,Mon Mar 03 19:22:22 PST 2014,Walk trip,Trip,Walk,
Mon Mar 03 19:22:22 PST 2014,Mon Mar 03 19:30:06 PST 2014,Non-walk trip,Trip,Car,
Mon Mar 03 19:30:06 PST 2014,Tue Mar 04 02:59:33 PST 2014,Activity,Activity,Sleep,Home
