Start Time,End Time,Start Epoch,End Epoch,Type,Comments,,
4/6/14 3:00,4/6/14 9:13,1396778450495,1396800824330,Activity,Activity,Sleep,Home
4/6/14 9:13,4/6/14 9:14,1396800824330,1396800895153,Walk trip,Activity,Sleep,Home
4/6/14 9:14,4/6/14 10:08,1396800895153,1396804080368,Activity,Activity,Sleep,Home
4/6/14 10:08,4/6/14 10:10,1396804080368,1396804219292,Non-walk trip,Trip,Walk,
4/6/14 10:10,4/6/14 10:13,1396804219292,1396804380384,Walk trip,Trip,Walk,
4/6/14 10:13,4/6/14 10:21,1396804380384,1396804862187,Activity,Activity,Meals,Aunt Marry's Café
4/6/14 10:21,4/6/14 11:08,1396804862187,1396807733900,Activity,Activity,Meals,Aunt Marry's Café
4/6/14 11:08,4/6/14 11:11,1396807733900,1396807873511,Non-walk trip,Trip,Walk,
4/6/14 11:11,4/6/14 11:17,1396807873511,1396808242787,Walk trip,Trip,Walk,
4/6/14 11:17,4/6/14 11:26,1396808242787,1396808775184,Activity,Activity,Work Household_chores Sleep,Home
4/6/14 11:26,4/7/14 2:59,1396808775184,1396864774199,Activity,Activity,Work Household_chores Sleep,Home
